apple;ano;type;Documents;N;mean;median;std;class
Here is an apple;2015;dever;245;2277;9,29387755102041;2,0;23,862038651202923;Deveres / Obrigações
Here is an apple;2015;pena;124;540;4,35483870967742;2,0;6,169942283251277;Multas / Penalidades
Here is an apple;2015;prazo;290;1681;5,79655172413793;2,0;18,245442769082803;Prazos
Here is an apple;2016;dever;250;1650;6,60000000000000;2,0;12,591193454571403;Deveres / Obrigações
Here is an apple;2016;pena;132;485;3,67424242424242;2,0;5,505716962306193;Multas / Penalidades
Here is an apple;2016;prazo;243;938;3,86008230452675;2,0;6,124481019792046;Prazos
Here is an apple;2017;dever;309;3392;10,97734627831715;3,0;29,333884125188089;Deveres / Obrigações
Here is an apple;2017;pena;156;695;4,45512820512821;2,0;6,291154003291830;Multas / Penalidades
Here is an apple;2017;prazo;282;1468;5,20567375886525;2,0;9,576080618241836;Prazos
Here is an apple;2018;dever;381;3209;8,42257217847769;3,0;18,616981910926118;Deveres / Obrigações
Here is an apple;2018;pena;174;978;5,62068965517241;2,0;9,711731037916996;Multas / Penalidades
Here is an apple;2018;prazo;318;1817;5,71383647798742;2,0;13,684013920265560;Prazos
Here is an apple;2019;dever;253;2401;9,49011857707510;2,0;30,622718593121395;Deveres / Obrigações
Here is an apple;2019;pena;95;452;4,75789473684210;2,0;11,200033994509280;Multas / Penalidades
Here is an apple;2019;prazo;198;1020;5,15151515151515;2,0;15,533728579481087;Prazos
Here is an apple;2020;dever;452;3248;7,18584070796460;3,0;15,134752404111921;Deveres / Obrigações
Here is an apple;2020;pena;132;574;4,34848484848485;3,0;5,770396745703203;Multas / Penalidades
Here is an apple;2020;prazo;453;1595;3,52097130242826;2,0;5,130390705296979;Prazos
Here is an apple;2021;dever;6;110;18,33333333333333;10,5;22,783034623742875;Deveres / Obrigações
Here is an apple;2021;pena;4;66;16,50000000000000;13,0;16,114175953695760;Multas / Penalidades
Here is an apple;2021;prazo;6;65;10,83333333333333;3,5;13,963046467969182;Prazos
